node_id1 node_id2 t
492 938 0
267 272 2
181 826 24
79 181 48
150 196 59
21 150 60
21 205 62
21 150 62
448 826 62
765 826 62
39 253 73
80 253 73
123 845 77
118 311 78
95 118 78
80 95 78
123 845 78
95 311 78
118 311 79
80 118 79
95 118 79
123 845 79
95 311 79
118 311 80
95 118 80
95 311 80
123 845 80
118 311 81
118 771 81
95 771 81
311 771 81
95 118 81
123 845 81
95 311 81
118 311 82
21 205 82
95 771 82
95 118 82
123 845 82
95 311 82
118 771 82
118 311 83
95 771 83
95 118 83
123 845 83
95 311 83
123 845 84
123 845 85
153 205 85
123 845 86
123 845 87
164 311 87
123 845 88
21 179 91
123 845 91
311 481 95
79 122 120
39 120 137
39 120 138
39 120 140
39 120 141
39 120 143
39 120 144
122 448 151
122 448 152
122 448 153
122 448 154
21 150 154
39 120 160
39 120 161
39 120 162
39 120 163
39 120 164
39 120 169
39 120 172
39 120 173
39 120 174
21 150 174
39 120 175
39 120 176
120 819 177
431 778 224
271 601 226
431 778 229
431 778 233
431 778 237
15 95 237
56 194 242
56 194 243
194 786 245
194 311 245
311 786 246
311 786 247
194 786 248
194 786 249
194 311 249
311 786 250
194 786 250
311 786 251
311 786 252
194 786 252
194 786 253
194 786 257
311 786 257
194 786 258
95 311 260
95 205 260
271 601 261
21 603 261
205 311 261
95 311 262
95 311 263
95 123 268
205 311 272
150 271 275
150 271 276
311 496 280
21 431 284
79 275 288
271 601 288
222 267 288
50 179 288
222 267 289
222 267 290
271 601 291
222 267 291
222 267 292
150 601 293
120 172 296
271 448 296
271 601 297
29 271 298
120 223 299
271 601 300
271 601 301
271 601 302
271 601 303
271 601 304
120 172 305
271 601 305
271 601 306
271 601 307
271 601 308
271 601 309
271 601 310
271 601 311
271 601 312
271 601 316
271 601 317
271 601 318
271 601 324
271 601 337
271 601 338
116 123 340
271 601 340
271 601 341
29 95 348
123 253 349
123 253 353
123 253 358
120 172 372
120 172 373
79 253 375
311 496 384
311 496 385
285 762 389
285 762 390
285 762 395
285 762 396
285 762 397
123 253 400
285 762 402
150 601 406
285 762 424
150 762 430
29 79 431
150 762 431
150 762 432
150 762 433
150 762 434
116 826 451
63 481 474
120 172 476
120 172 477
63 481 483
762 771 484
63 481 484
63 481 485
63 481 486
63 481 487
63 481 489
63 481 490
63 481 493
63 481 494
63 481 495
63 481 498
63 481 499
63 481 502
56 939 542
50 335 542
123 253 547
778 826 556
778 826 557
223 496 575
123 253 580
29 56 581
29 56 582
29 56 583
29 56 584
29 56 585
95 819 587
123 253 587
29 56 587
116 778 587
105 113 609
223 496 615
172 311 634
120 311 635
105 113 639
172 311 639
120 172 640
172 311 640
120 311 642
105 113 643
105 113 660
113 513 661
123 253 661
123 253 662
105 113 663
113 513 668
172 311 668
172 311 669
172 311 672
172 311 673
172 311 674
123 253 675
172 311 675
123 253 676
172 311 676
172 311 677
123 253 678
172 311 678
119 275 679
172 311 679
172 311 680
172 311 682
105 113 683
119 335 688
113 513 692
63 481 695
105 513 703
50 771 709
50 771 710
15 95 718
15 95 722
15 29 722
29 95 722
29 95 723
15 95 723
15 29 723
15 95 724
15 95 730
15 95 731
15 95 732
194 786 733
15 95 733
105 113 735
95 194 737
15 95 738
15 95 739
95 194 741
150 154 742
95 194 742
150 154 743
15 95 743
95 194 743
150 154 744
105 113 744
150 154 745
105 113 745
105 113 746
150 154 747
150 154 750
494 765 750
150 154 751
494 765 751
150 154 752
150 154 753
150 154 756
494 765 756
150 154 757
48 209 763
48 209 764
48 209 765
113 513 765
80 222 768
17 48 773
179 209 775
17 179 776
179 209 776
17 209 776
17 48 776
66 209 777
48 209 778
17 66 778
123 253 778
17 66 779
80 222 780
17 66 780
123 253 781
17 66 781
196 223 782
17 66 782
66 196 782
196 223 783
223 819 783
17 102 783
39 205 783
66 209 783
17 66 783
196 819 784
48 66 784
17 66 784
80 765 785
17 66 785
66 102 785
196 819 785
66 209 785
48 66 785
66 102 786
80 765 786
17 179 786
196 819 786
17 66 786
66 209 786
48 66 786
48 209 787
48 66 787
66 102 787
223 819 787
196 819 787
21 66 787
102 179 787
48 209 788
66 102 788
21 48 788
17 102 788
205 496 788
102 179 788
48 209 789
66 102 789
17 102 789
21 66 789
102 179 789
48 209 790
80 765 790
48 134 790
66 102 790
17 102 790
21 66 790
134 209 790
66 209 790
102 179 790
48 66 791
80 765 792
80 765 793
105 113 793
80 765 794
80 765 795
240 275 795
80 222 797
134 240 798
80 222 798
134 240 799
80 222 799
240 285 800
134 496 800
80 222 800
240 285 801
134 285 801
80 222 801
123 253 801
240 285 802
134 240 802
134 285 802
80 222 802
123 253 802
271 601 805
205 496 805
205 496 806
271 601 808
205 311 808
205 496 808
80 311 808
311 496 809
205 496 809
63 481 810
205 496 810
80 222 811
205 496 811
80 222 812
205 496 812
63 271 812
80 765 813
205 311 813
80 222 813
205 496 813
80 765 814
205 496 814
80 765 815
80 222 815
80 222 816
205 496 816
222 496 817
205 311 817
205 496 817
311 496 818
205 496 818
205 311 819
205 496 819
205 496 820
205 496 821
80 765 822
80 222 822
205 496 822
205 496 823
80 765 824
205 496 824
80 765 825
222 496 825
205 496 825
39 113 825
80 765 826
205 496 826
39 113 826
80 222 827
80 765 828
80 765 829
80 765 830
205 496 830
80 765 831
123 253 831
80 765 832
80 494 832
80 765 833
80 494 833
80 765 834
80 494 834
80 765 835
80 494 835
39 113 837
494 765 839
123 253 841
80 222 854
105 275 864
311 496 875
311 496 876
80 222 876
311 496 877
123 253 877
123 253 878
80 311 882
80 311 883
311 496 885
311 496 886
311 496 887
311 496 888
80 765 888
311 496 889
311 496 890
311 496 895
113 242 905
113 194 906
311 496 907
113 242 909
311 496 910
113 242 910
113 194 910
113 242 911
113 194 912
311 496 924
311 496 925
311 496 926
79 804 926
311 496 928
267 311 928
311 496 929
267 311 929
267 311 930
267 311 932
80 222 932
205 267 932
66 102 933
267 311 933
80 222 933
123 164 933
267 311 934
21 66 934
205 267 934
267 311 935
267 311 936
267 311 937
79 804 937
79 804 938
267 311 938
66 179 938
267 311 939
267 496 939
267 311 940
267 496 940
311 496 941
267 311 941
80 222 941
267 496 941
311 496 942
267 311 942
267 496 942
205 267 942
311 496 943
48 804 943
267 311 943
511 804 943
179 222 943
267 496 943
205 267 943
267 311 944
511 804 944
179 222 944
205 267 944
267 311 945
48 179 945
48 179 946
17 179 946
267 311 946
311 496 947
17 179 947
267 311 947
511 804 947
511 804 948
48 179 949
48 179 950
511 804 950
48 179 951
511 804 951
267 496 951
66 804 952
21 48 952
511 804 952
267 496 952
17 21 952
17 48 952
275 804 953
511 804 953
267 496 953
511 804 954
311 496 955
102 271 955
511 804 955
21 66 955
102 601 955
271 601 956
267 311 956
511 804 956
271 601 957
511 804 957
271 601 958
21 66 958
311 496 959
271 601 959
267 311 959
21 66 959
267 496 959
311 496 960
267 311 960
267 496 960
79 311 961
205 496 961
48 66 961
311 496 962
271 601 963
222 267 963
271 601 965
222 267 965
48 80 965
222 267 966
271 601 967
804 826 967
48 66 968
804 826 968
778 804 968
271 601 970
222 267 970
271 601 971
209 285 971
79 102 971
223 267 973
285 875 973
222 223 973
222 267 973
223 267 974
285 875 974
222 223 974
222 267 974
223 267 975
271 601 975
285 875 975
222 267 975
223 267 976
285 875 976
222 267 976
223 267 977
271 601 977
285 875 977
285 875 978
184 267 978
275 875 978
271 601 980
271 601 981
285 875 981
271 601 982
285 875 982
285 875 983
184 804 983
184 804 984
184 804 985
184 804 986
285 875 988
285 875 990
102 240 993
222 267 993
102 240 994
222 267 994
222 267 995
222 267 996
285 875 997
48 66 1004
285 875 1005
48 66 1005
222 267 1008
48 66 1008
222 267 1009
21 66 1009
48 66 1009
21 209 1012
119 875 1014
222 267 1014
222 267 1016
21 209 1016
222 267 1017
21 66 1020
48 66 1020
48 66 1023
21 48 1024
21 66 1024
48 66 1024
48 66 1025
222 267 1035
222 267 1036
79 95 1037
21 66 1037
222 267 1039
29 95 1039
21 66 1040
48 66 1040
222 267 1041
21 66 1041
95 181 1041
222 267 1042
21 66 1042
48 66 1042
21 66 1043
48 66 1043
48 66 1044
134 240 1045
21 48 1046
21 66 1046
48 66 1046
21 66 1047
48 66 1047
21 66 1048
48 66 1048
79 95 1049
48 66 1049
21 48 1049
21 66 1049
48 66 1050
48 66 1051
48 66 1052
39 267 1053
48 66 1053
48 66 1054
48 66 1055
48 66 1056
95 786 1057
48 66 1057
21 48 1058
48 66 1058
50 102 1061
63 481 1062
39 205 1062
39 205 1063
39 205 1064
119 275 1065
39 205 1065
39 205 1066
21 66 1069
223 311 1070
223 311 1071
21 66 1071
21 66 1079
48 66 1079
17 21 1079
765 786 1083
765 786 1084
50 771 1086
119 762 1086
17 771 1089
765 786 1096
765 786 1097
123 253 1097
448 499 1098
50 875 1105
335 511 1105
120 494 1109
120 494 1110
120 494 1111
120 494 1112
120 494 1113
120 494 1115
120 494 1116
120 494 1117
120 494 1118
120 494 1119
120 494 1120
120 494 1121
120 494 1122
120 494 1123
120 494 1124
120 494 1125
123 253 1126
120 494 1126
123 253 1129
120 494 1129
123 253 1130
120 494 1130
120 494 1131
120 494 1132
120 494 1133
765 786 1138
120 494 1141
120 494 1142
120 494 1143
120 494 1144
120 494 1145
120 494 1146
123 253 1147
120 494 1147
120 494 1148
765 786 1149
120 494 1149
765 786 1150
120 494 1150
765 786 1151
120 494 1151
120 494 1152
765 786 1153
765 786 1157
222 267 1157
123 253 1157
120 494 1157
765 786 1158
