node_id1 node_id2 t subject count normalized_count interaction_percentile count_of_interactions_category
1560 1570 0 English 15 3.0172413793103448 71-85% Very_Low
1558 1567 0 English 195 41.810344827586206 85-100% Medium
1567 1574 0 English 90 19.181034482758623 85-100% Very_Low
1632 1818 0 English 18 3.6637931034482754 71-85% Very_Low
1632 1866 0 English 11 2.1551724137931036 57-71% Very_Low
1673 1698 0 English 37 7.758620689655173 85-100% Very_Low
1819 1836 0 English 16 3.2327586206896552 71-85% Very_Low
1819 1866 0 English 5 0.8620689655172413 42-57% Very_Low
1558 1567 1 English 195 41.810344827586206 85-100% Medium
1567 1574 1 English 90 19.181034482758623 85-100% Very_Low
1632 1818 1 English 18 3.6637931034482754 71-85% Very_Low
1632 1866 1 English 11 2.1551724137931036 57-71% Very_Low
1673 1698 1 English 37 7.758620689655173 85-100% Very_Low
1741 1820 1 English 5 0.8620689655172413 42-57% Very_Low
1809 1822 1 English 11 2.1551724137931036 57-71% Very_Low
1819 1836 1 English 16 3.2327586206896552 71-85% Very_Low
1558 1564 2 English 46 9.698275862068966 85-100% Very_Low
1558 1567 2 English 195 41.810344827586206 85-100% Medium
1560 1570 2 English 15 3.0172413793103448 71-85% Very_Low
1564 1567 2 English 17 3.4482758620689653 71-85% Very_Low
1564 1574 2 English 48 10.129310344827585 85-100% Very_Low
1567 1574 2 English 90 19.181034482758623 85-100% Very_Low
1632 1866 2 English 11 2.1551724137931036 57-71% Very_Low
1673 1698 2 English 37 7.758620689655173 85-100% Very_Low
1741 1820 2 English 5 0.8620689655172413 42-57% Very_Low
1768 1783 2 English 28 5.818965517241379 85-100% Very_Low
1802 1805 2 English 10 1.9396551724137931 57-71% Very_Low
1802 1831 2 English 8 1.5086206896551724 57-71% Very_Low
1503 1545 3 English 9 1.7241379310344827 57-71% Very_Low
1558 1564 3 English 46 9.698275862068966 85-100% Very_Low
1558 1567 3 English 195 41.810344827586206 85-100% Medium
1564 1567 3 English 17 3.4482758620689653 71-85% Very_Low
1564 1574 3 English 48 10.129310344827585 85-100% Very_Low
1567 1574 3 English 90 19.181034482758623 85-100% Very_Low
1632 1818 3 English 18 3.6637931034482754 71-85% Very_Low
1632 1819 3 English 12 2.3706896551724137 71-85% Very_Low
