node_id1 node_id2 t label
19918 6357 0 Authoring
21447 6357 0 Authoring
21448 6358 0 Authoring
21449 6358 0 Authoring
20131 6358 0 Authoring
21451 6359 0 Authoring
21452 6359 0 Authoring
21453 6360 0 Authoring
21454 6360 0 Authoring
21455 6360 0 Authoring
21456 6360 0 Authoring
21457 6360 0 Authoring
21458 6361 0 Authoring
21459 6361 0 Authoring
21460 6361 0 Authoring
21461 6361 0 Authoring
21462 6361 0 Authoring
19271 6362 0 Authoring
21464 6362 0 Authoring
21465 6363 0 Authoring
21466 6363 0 Authoring
21467 6364 0 Authoring
21468 6364 0 Authoring
55987 6364 0 Authoring
21469 6365 0 Authoring
16840 6365 0 Authoring
21471 6366 0 Authoring
21472 6366 0 Authoring
21473 6366 0 Authoring
21474 6366 0 Authoring
21475 6366 0 Authoring
19935 6367 0 Authoring
21477 6367 0 Authoring
19937 6367 0 Authoring
21479 6368 0 Authoring
21480 6368 0 Authoring
21481 6368 0 Authoring
21482 6368 0 Authoring
21483 6368 0 Authoring
21484 6368 0 Authoring
21485 6368 0 Authoring
21486 6368 0 Authoring
21487 6368 0 Authoring
21488 6368 0 Authoring
21489 6369 0 Authoring
21490 6369 0 Authoring
21484 6370 0 Authoring
21487 6370 0 Authoring
21486 6370 0 Authoring
21479 6370 0 Authoring
21480 6370 0 Authoring
21482 6370 0 Authoring
21488 6370 0 Authoring
21481 6370 0 Authoring
21499 6371 0 Authoring
21500 6371 0 Authoring
21501 6372 0 Authoring
21502 6373 0 Authoring
21503 6373 0 Authoring
21455 6373 0 Authoring
21505 6373 0 Authoring
21506 6374 0 Authoring
21507 6374 0 Authoring
21468 6374 0 Authoring
21509 6374 0 Authoring
21510 6374 0 Authoring
21511 6375 0 Authoring
21512 6375 0 Authoring
21513 6376 0 Authoring
20055 6376 0 Authoring
19359 6376 0 Authoring
21516 6377 0 Authoring
21455 6377 0 Authoring
21518 6378 0 Authoring
17013 6378 0 Authoring
21520 6378 0 Authoring
21521 6379 0 Authoring
21522 6380 0 Authoring
21455 6380 0 Authoring
21524 6381 0 Authoring
21525 6381 0 Authoring
21526 6381 0 Authoring
21527 6382 0 Authoring
21528 6383 0 Authoring
21529 6383 0 Authoring
21530 6383 0 Authoring
21531 6383 0 Authoring
20765 6383 0 Authoring
19919 6383 0 Authoring
21534 6383 0 Authoring
19920 6383 0 Authoring
21536 6384 0 Authoring
21537 6384 0 Authoring
21521 6385 0 Authoring
21539 6385 0 Authoring
21540 6385 0 Authoring
21541 6385 0 Authoring
51628 14961 1 Authoring
51629 14961 1 Authoring
51630 14961 1 Authoring
51631 14961 1 Authoring
51632 14962 1 Authoring
51633 14962 1 Authoring
51634 14962 1 Authoring
51635 14963 1 Authoring
51636 14963 1 Authoring
51637 14964 1 Authoring
51638 14964 1 Authoring
51639 14964 1 Authoring
51640 14965 1 Authoring
51641 14965 1 Authoring
51642 14965 1 Authoring
19205 14966 1 Authoring
19306 14966 1 Authoring
51645 14966 1 Authoring
21503 14967 1 Authoring
21455 14967 1 Authoring
20816 14968 1 Authoring
51649 14968 1 Authoring
51650 14969 1 Authoring
20055 14969 1 Authoring
51652 14970 1 Authoring
19929 14970 1 Authoring
51654 14971 1 Authoring
50366 14971 1 Authoring
51656 14971 1 Authoring
51657 14972 1 Authoring
51658 14972 1 Authoring
51659 14972 1 Authoring
