node_id1 node_id2 t topic
29681 2790 0 0
27351 73122 0 0
27351 29589 0 0
69832 78818 0 0
39092 39092 0 0
75349 2168 0 0
61506 2209 0 0
65763 40017 0 0
77969 67025 0 0
49187 60299 0 0
39092 76776 0 0
40299 5997 0 0
3128 20484 0 0
68708 61403 0 0
16851 39092 0 0
39092 39092 0 0
23652 11153 0 0
27351 38613 1 0
61480 30508 1 0
39092 4439 1 0
61309 33425 1 0
22924 22924 1 0
39092 37808 1 0
27351 47752 1 0
20302 11320 1 0
27351 11869 1 0
27351 70311 1 0
78718 68504 1 0
27351 51544 1 0
11292 55243 1 0
65376 60955 1 0
26009 49003 1 0
32790 38059 1 0
40246 54378 1 0
54355 55257 1 0
78669 73708 1 0
27351 50376 1 0
39958 45653 1 0
48965 61618 1 0
39092 68346 1 0
8482 22348 1 0
56664 38059 1 0
22672 19215 1 0
32131 76034 1 0
72711 41016 1 0
61438 50995 1 0
27351 6054 2 0
37046 57686 2 0
16711 35174 2 0
20731 43982 2 0
37046 72845 2 0
37046 75394 2 0
37046 76448 2 0
37046 22382 2 0
71976 51796 2 0
27351 76061 2 0
16484 62034 2 0
20731 50248 2 0
27351 27062 2 0
27351 55968 2 0
27351 4020 2 0
37046 33050 2 0
27351 26180 2 0
21317 38001 2 0
37046 20864 2 0
27351 44956 2 0
37046 37305 2 0
37046 5595 2 0
27351 44839 2 0
32790 46718 2 0
14588 44607 2 0
37046 5565 2 0
37046 70195 2 0
37046 9313 2 0
27351 45141 2 0
40097 618 2 0
37046 28978 2 0
52016 2310 2 0
52016 2310 2 0
8883 77136 2 0
39092 31330 2 0
27351 11457 2 0
27351 7602 2 0
27351 13063 2 0
40097 73615 2 0
40097 5851 2 0
20623 44669 2 0
37046 52158 2 0
27351 38854 2 0
37046 66126 2 0
22012 38343 2 0
37046 29284 2 0
70611 56867 2 0
27351 48429 2 0
27351 65434 2 0
37046 78572 2 0
37046 14430 2 0
27351 66988 2 0
72711 18302 2 0
47454 10247 2 0
37046 9476 2 0
2826 19038 2 0
54724 16307 2 0
27351 13488 2 0
71115 37181 2 0
40097 60008 2 0
22012 38343 2 0
14077 9839 2 0
8392 38001 2 0
37046 3761 3 0
25746 22390 3 0
27351 31130 3 0
55154 23581 3 0
75674 13891 3 0
55154 14073 3 0
56664 3897 3 0
37046 31668 3 0
25746 1961 3 0
55154 75853 3 0
56664 46647 3 0
61309 9069 3 0
37046 26456 3 0
55154 70937 3 0
43670 59211 3 0
14547 72821 3 0
17130 19214 3 0
27351 48018 3 0
55154 47507 3 0
37046 44608 3 0
25746 40705 3 0
13577 11153 3 0
37046 59639 3 0
63120 61659 3 0
55154 43268 3 0
55154 51620 3 0
25746 10947 3 0
63827 55154 3 0
61659 63120 3 0
20731 43982 3 0
25746 47720 3 0
55154 70163 3 0
66011 74728 3 0
33488 70667 3 0
25746 18367 3 0
40299 9121 3 0
40097 10035 3 0
33488 4229 3 0
19784 55154 3 0
55154 70253 3 0
37046 40616 3 0
38414 22546 3 0
55154 27147 3 0
27351 77269 3 0
38273 18383 3 0
25746 17554 3 0
55154 69853 3 0
76196 45474 3 0
2826 48462 3 0
56664 9508 3 0
27351 32306 3 0
47936 10941 3 0
14588 45627 3 0
41897 59550 3 0
60871 23054 3 0
42418 23493 3 0
55154 66695 3 0
19784 57832 3 0
55154 76 4 0
37046 14898 4 0
37895 26304 4 0
42418 8561 4 0
60845 30071 4 0
26186 39707 4 0
55154 51786 4 0
63120 61659 4 0
77969 13527 4 0
27351 15017 4 0
19784 24920 4 0
27351 51498 4 0
16544 58486 4 0
32131 47038 4 0
14898 31900 4 0
26186 78126 4 0
55154 33799 4 0
26186 8060 4 0
32140 44251 4 0
25746 72920 4 0
60845 45559 4 0
55154 66262 4 0
55154 6801 4 0
55154 9375 4 0
27351 39564 4 0
33310 39681 4 0
27351 15977 4 0
32140 6814 4 0
55154 39258 4 0
14547 31208 4 0
37895 12936 4 0
27351 52620 4 0
59288 65216 4 0
55154 28255 4 0
26186 26321 4 0
27351 70210 4 0
27351 19877 4 0
27351 5720 4 0
27351 59062 4 0
19784 55154 4 0
60501 59014 4 0
17998 53202 4 0
55154 5902 4 0
27351 10771 4 0
19784 59934 4 0
20449 25563 4 0
55154 53092 4 0
26186 63645 4 0
25746 3163 5 0
27351 58238 5 0
78669 3451 5 0
37046 52477 5 0
27351 68078 5 0
27351 34985 5 0
37046 69004 5 0
27351 57769 5 0
76975 12826 5 0
25746 50294 5 0
27351 21471 5 0
27351 14166 5 0
26186 26421 5 0
37403 60031 5 0
27351 78794 5 0
73012 73012 5 0
27351 59080 5 0
27351 73473 5 0
27351 39593 5 0
2485 49955 5 0
19784 57303 5 0
27351 54362 5 0
49297 59200 5 0
27351 22824 5 0
27351 6403 5 0
32140 51688 5 0
27351 1728 5 0
26186 41624 5 0
55154 59398 5 0
27351 38620 5 0
9182 64129 5 0
27351 11743 5 0
27351 33444 5 0
37895 57189 5 0
55154 57073 5 0
27351 60514 5 0
46396 55843 5 0
27351 5187 5 0
9045 55154 5 0
27351 19953 5 0
27351 36989 5 0
27351 68722 5 0
57160 67393 5 0
27351 16689 5 0
27351 48751 5 0
14547 57303 5 0
27351 38322 5 0
27351 70715 5 0
27351 49115 5 0
27351 68672 5 0
27351 49365 5 0
32140 6814 5 0
27351 70161 5 0
27351 48373 5 0
27351 68079 5 0
27351 18816 5 0
76033 52286 5 0
65376 48531 5 0
27351 68677 5 0
57160 21735 5 0
27351 36583 5 0
27351 47778 5 0
27351 47160 5 0
20487 15998 5 0
28573 46366 5 0
27351 1273 5 0
27351 64756 5 0
55154 27320 5 0
27351 32661 5 0
56664 60184 5 0
62610 8529 5 0
55154 69213 5 0
27351 42943 5 0
27351 67559 5 0
27351 21898 5 0
27351 32585 5 0
27351 63106 5 0
27351 54573 5 0
27351 65878 5 0
43875 54772 5 0
20487 38244 5 0
23466 34941 5 0
73629 60031 5 0
27351 19114 5 0
65376 60807 5 0
27351 7416 5 0
27351 69776 5 0
27351 71588 5 0
24702 27431 5 0
27351 61379 5 0
27351 65013 5 0
27351 54360 5 0
27351 63030 5 0
55154 36623 5 0
27351 27637 5 0
27351 61671 5 0
27351 44956 5 0
9045 42996 5 0
40322 55900 5 0
27351 32693 5 0
27351 19365 5 0
27351 64036 5 0
27351 16689 5 0
27351 16689 5 0
27351 69407 5 0
27351 36776 5 0
27351 51169 5 0
27351 67643 5 0
27351 31366 6 0
10900 43670 6 0
27351 16515 6 0
27351 54007 6 0
27351 40731 6 0
10900 6902 6 0
27351 16829 6 0
10900 25312 6 0
10900 36752 6 0
27351 51707 6 0
37046 20229 6 0
27351 43040 6 0
40246 24265 6 0
27351 44956 6 0
27351 31366 6 0
27351 6138 6 0
55154 57440 6 0
27351 40418 6 0
73532 74914 6 0
9643 55154 6 0
27351 46053 6 0
27351 57440 6 0
27351 62272 6 0
19784 9045 6 0
40246 75089 6 0
27351 40761 6 0
27351 35041 6 0
55154 65188 6 0
27351 39855 6 0
27351 44956 6 0
27351 418 6 0
66322 70979 6 0
27351 29007 6 0
27351 29007 6 0
32140 13146 6 0
27351 44285 6 0
27351 26911 6 0
27351 47160 6 0
27351 12110 6 0
27351 4799 6 0
27351 29007 6 0
27351 14958 6 0
52506 61195 6 0
27351 7603 6 0
37046 35174 6 0
61915 357 6 0
32140 20108 6 0
27351 56046 6 0
27351 1776 6 0
37046 21034 6 0
27351 47333 6 0
27351 23894 6 0
27351 694 6 0
55154 35381 6 0
37046 6709 6 0
27351 43632 6 0
27351 67220 6 0
27351 58828 6 0
27351 31539 6 0
27351 7609 6 0
27351 29007 6 0
27351 62272 6 0
27351 44744 6 0
27351 44608 6 0
32140 23493 6 0
27351 1907 6 0
9643 9045 6 0
40246 53564 6 0
27351 58408 6 0
27351 34574 6 0
22012 51235 6 0
24933 27402 7 0
64739 64126 7 0
56664 13650 7 0
42581 39969 7 0
75656 15998 7 0
42581 36017 7 0
42581 44860 7 0
42581 569 7 0
27351 59703 7 0
27351 55606 7 0
42581 33437 7 0
37550 61148 7 0
24933 44424 7 0
11923 11923 7 0
64739 57419 7 0
42581 49244 7 0
2614 43750 7 0
69607 7863 7 0
42581 35554 7 0
55154 36480 7 0
42581 30658 7 0
42581 34904 7 0
27351 44956 7 0
27351 54368 7 0
69339 71636 7 0
64739 64126 7 0
27351 9475 7 0
19160 22907 7 0
55154 7727 7 0
70317 37808 7 0
20487 60373 7 0
62165 63558 7 0
55154 32066 7 0
24933 30603 7 0
42581 14613 7 0
27351 70238 7 0
24933 74081 7 0
27351 22741 7 0
49554 45241 7 0
69607 2951 7 0
24933 30443 7 0
9643 57303 7 0
27351 2507 7 0
15001 18036 7 0
42581 43532 7 0
24933 45241 7 0
10900 69832 7 0
20731 43982 7 0
42581 33720 7 0
24933 14242 7 0
42581 47727 7 0
64739 56501 7 0
27351 43856 7 0
64739 57819 7 0
27351 16085 7 0
42581 14254 7 0
55154 7396 7 0
10970 57303 7 0
56664 18070 7 0
15001 48472 7 0
63035 76233 7 0
62165 34798 7 0
42581 35240 7 0
27351 10347 7 0
62165 32513 7 0
24933 30603 7 0
42581 6518 7 0
19160 47478 7 0
15001 84 7 0
42581 27470 7 0
3060 65433 7 0
32140 64228 7 0
27351 19154 7 0
42581 52767 7 0
20731 50248 7 0
56664 18070 7 0
24933 12221 7 0
42581 51819 7 0
56664 18070 7 0
27351 56965 7 0
43670 48322 7 0
19784 33219 7 0
19160 20413 7 0
42581 74656 7 0
42581 74254 7 0
32140 64228 7 0
19784 57303 7 0
15001 60373 7 0
56664 702 7 0
42581 25202 7 0
76778 19116 7 0
27351 33090 7 0
62377 34170 7 0
55154 73897 7 0
42581 16603 7 0
27351 9151 8 0
27351 10327 8 0
17423 15404 8 0
54177 19571 8 0
46672 43932 8 0
27351 15010 8 0
42581 41434 8 0
19635 21916 8 0
27351 51994 8 0
27351 45480 8 0
75936 30888 8 0
37046 50431 8 0
61277 30016 8 0
32140 72294 8 0
77969 28919 8 0
27351 30521 8 0
27351 20028 8 0
56664 23575 8 0
27351 40297 8 0
27351 30004 8 0
70816 16515 8 0
27351 13448 8 0
42581 454 8 0
27351 6410 8 0
42581 62918 8 0
27351 700 8 0
27351 69455 8 0
65227 19726 8 0
27351 64764 8 0
27351 52982 8 0
1293 59343 8 0
66373 66373 8 0
55154 1791 8 0
27351 49999 8 0
70816 73807 8 0
27351 22936 8 0
32140 64228 8 0
27351 16515 8 0
27351 44956 8 0
27351 22732 8 0
55154 67802 8 0
24025 24025 8 0
34257 37230 8 0
20731 50248 8 0
27351 40071 8 0
37046 29535 8 0
49448 53483 8 0
10900 71293 8 0
27351 53343 8 0
42581 39972 8 0
27351 29841 8 0
27351 47610 8 0
65227 57832 9 0
33764 62197 9 0
27351 4815 9 0
27351 2275 9 0
27351 25667 9 0
37046 35953 9 0
27351 8964 9 0
27351 42092 9 0
27351 53318 9 0
27351 61283 9 0
64383 73432 9 0
26303 29709 9 0
37046 30329 9 0
69607 4921 9 0
30600 23313 9 0
27351 71588 9 0
34257 47327 9 0
11320 18350 9 0
27351 11738 9 0
27351 9988 9 0
63671 14590 9 0
42418 76640 9 0
27351 15765 9 0
27351 33637 9 0
64383 44044 9 0
33764 74273 9 0
55764 11320 9 0
64383 41842 9 0
27351 51748 9 0
27351 54827 9 0
42418 56764 9 0
27351 67321 9 0
27351 29757 9 0
42348 26673 9 0
42418 43992 9 0
27351 44608 9 0
42348 69355 9 0
42581 26308 9 0
27351 6029 9 0
75810 62206 9 0
46935 25018 9 0
27351 41261 9 0
67233 40079 9 0
27351 25334 9 0
27351 45068 9 0
27351 56266 9 0
27351 11527 9 0
64383 8537 9 0
15001 6215 9 0
27351 49753 9 0
50364 26673 9 0
